Gender;Weight;Size;Eyes;Hair;Shoesize;Mathgrade;Germangrade;Englishgrade;Smoker;EduMother;SizeMother;SmokeMother;EduFather;SizeFather;SmokeFather;ZodiacSign
male;71;191;blue;blonde;44;2;4;4;no;Secondary;169;no;Degree;175;yes;Virgo
female;54;174;blue;brown;40;1;2;1;no;Degree;168;yes;Degree;178;no;Gemini
female;56;170;darkbrown;darkbrown;42;3;2;4;yes;Degree;162;yes;Degree;185;no;Gemini
male;76;193;bluegray;blonde;44;3;3;3;yes;Secondary;172;no;Secondary;181;no;Cancer
male;80;186;bluegray;brown;42;4;3;2;no;Degree;170;no;Degree;180;no;Aries
male;95;185;brown;brown;45;1;2;2;no;Secondary;170;no;Secondary;182;no;Gemini
female;54;164;green;brown;38;3;1;2;no;Secondary;165;no;Secondary;175;yes;Aries
male;75;180;brown;brown;45;4;3;4;no;Secondary;160;no;Secondary;180;no;Sagittarius
female;51;164;brown;brown;38;2;4;2;no;Degree;168;no;Degree;174;no;Taurus
male;76;178;brown;brown;43;4;2;4;no;Upper Secondary;170;no;Upper Secondary;175;no;Taurus
female;56;170;darkbrown;darkbrown;42;3;2;4;yes;Degree;162;yes;Degree;185;no;Gemini
male;95;185;brown;brown;45;1;2;2;no;Secondary;170;no;Secondary;182;no;Gemini
female;60;169;brown;darkbrown;40;;3;1;yes;;167;yes;;170;no;Virgo
male;67;176;brown;white;41;1;1;;no;Degree;168;no;Degree;169;no;Aquarius
male;68;170;brown;brown;41;3;3;3;no;Secondary;160;no;Secondary;162;no;Gemini
male;80;185;gray;brown;43;3;2;4;no;Secondary;175;yes;Upper Secondary;181;no;Scorpio
female;58;176;brown;black;39;2;3;3;no;Secondary;165;no;Secondary;183;no;Libra
male;68;178;blue;blonde;43;2;3;2;yes;Upper Secondary;165;no;Degree;175;no;Scorpio
male;90;195;green;brown;47;3;2;3;yes;Secondary;170;no;Degree;190;no;Aries
male;78;183;blue;blonde;44;3;2;2;yes;Secondary;160;no;Secondary;170;yes;Scorpio
female;46;160;brown;brown;37;2;2;3;no;Secondary;160;no;Secondary;170;yes;Virgo
male;99;189;blue;brown;47;4;2;;no;Upper Secondary;173;no;Secondary;172;no;Taurus
male;68;173;brown;brown;43;2;4;4;no;Secondary;159;no;Secondary;171;yes;Leo
female;54;160;blue;brown;38;4;3;4;no;Upper Secondary;158;no;Secondary;170;no;Sagittarius
female;60;176;brown;black;39;2;4;3;no;Secondary;165;no;Secondary;182;no;Cancer
male;62;174;green;brown;42;1;3;4;yes;Secondary;165;no;Secondary;185;no;Taurus
male;73;185;brown;brown;43;2;3;3;no;Secondary;163;no;Upper Secondary;181;yes;Leo
female;68;174;blue;brown;38;1;2;4;no;Upper Secondary;175;yes;Degree;186;yes;Gemini
male;73;193;green;brown;44;1;4;2;no;Secondary;175;no;Secondary;180;yes;Pisces
female;53;175;green;darkblonde;38;4;3;3;yes;Secondary;168;no;Secondary;175;no;Scorpio
female;65;176;brown;brown;41;1;1;1;no;Upper Secondary;164;no;Secondary;178;no;Gemini
female;55;156;bluegray;lightbrown;38;3;4;;no;Degree;158;no;Degree;173;no;Leo
male;75;177;green;brown;43;3;4;4;no;Upper Secondary;165;no;Degree;170;no;Pisces
male;75;181;green;brown;43;2;3;2;yes;Secondary;171;no;Secondary;179;no;Leo
male;72;168;blue;brown;39;2;4;4;no;Upper Secondary;158;no;Degree;162;no;Capricorn
female;66;181;green;darkbrown;41;4;3;4;no;Upper Secondary;175;no;Secondary;180;no;Gemini
male;50;160;brown;brown;38;1;2;1;no;Degree;163;no;Degree;180;no;Aquarius
male;65;180;bluegray;brown;42;3;2;3;no;Upper Secondary;160;yes;Degree;180;yes;Virgo
male;95;180;brown;brown;45;2;3;3;no;Secondary;160;no;Secondary;160;yes;Virgo
female;49;155;brown;brown;37;1;1;1;no;Upper Secondary;161;no;Degree;162;yes;Aquarius
female;52;164;bluegray;black;37;2;3;3;yes;Secondary;161;yes;Secondary;180;no;Capricorn
male;75;175;brown;black;42;1;1;1;yes;Degree;165;no;Degree;170;no;Virgo
female;64;181;greenbrown;lightbrown;41;2;2;3;no;Secondary;179;no;Secondary;176;yes;Leo
male;73;176;blue;brown;42;1;2;2;no;Upper Secondary;165;no;Upper Secondary;180;no;Virgo
male;89;177;green;black;43;1;;1;no;Secondary;163;no;Secondary;172;yes;Pisces
